Source IP,Destination IP,Source Port,Destination Port,Protocol,SYN Flag Count,ACK Flag Count,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Init Fwd Win Bytes,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow Duration,Flow IAT Mean,Flow IAT Std,Bwd IAT Mean,Down/Up Ratio,Active Mean,Active Std
10.1.1.5,10.1.1.4,49153,80,6,4,4,0,216,112,65535,4,2,0,0,0,0.0,0.0,439.95919277578935,6.0544843042539815,991001.0,198200.2,393368.7815149544,984950.0,0.5138888888888888,991001.0,0.0
10.1.1.6,10.1.1.4,49153,80,6,2,2,0,108,56,65535,2,1,0,0,0,0.0,0.0,4274509.80391962,58823.52941173789,51.00000000002325,25.500000000011624,0.500000000069889,0.0,0.5138888888888888,51.00000000002325,0.0
10.1.1.1,10.1.1.4,49153,80,6,2,16,0,576,316,65535,11,6,576,64,0,24.68445490687584,0.0,445952.74007038295,4273.504273504233,3978.0000000000373,248.6250000000023,525.9288063749061,390.4000000000352,0.31407407407407406,3978.0000000000373,0.0
10.1.1.4,10.1.1.7,80,49153,6,2,2,0,56,108,65535,1,2,0,0,0,0.0,0.0,218.762825974172,3.0104976051491557,996512.9999999998,498256.4999999999,498230.49999999977,996486.9999999997,1.945945945945946,996512.9999999998,0.0
10.1.1.1,10.1.1.4,49153,80,6,19,29147,0,1023244,492996,32768,19677,9480,2672880,536,0,169.16770304803396,0.0,4714488.166139104,29160.353440645664,999885.0000000003,34.294313348881886,121.31292094106459,105.39350142420088,0.16384819927363584,999885.0000000003,0.0
10.1.1.6,10.1.1.4,49154,80,6,2,2,0,108,56,65535,2,1,0,0,0,0.0,0.0,26057.853215395353,358.59431030360577,8366.000000000096,4183.000000000048,4148.000000000041,0.0,0.5138888888888888,8366.000000000096,0.0
10.1.1.8,10.1.1.4,49153,80,6,2,2,0,108,56,65535,2,1,0,0,0,0.0,0.0,58570.66093497765,806.0182697473989,3722.000000000225,1861.0000000001125,1798.0000000001885,0.0,0.5138888888888888,3722.000000000225,0.0
10.1.1.2,10.1.1.4,49153,80,6,12,6177,0,220036,101528,65535,4231,1952,665184,536,0,187.66797612759774,0.0,2205085.1576133785,12416.684907793619,497958.9999999998,80.54982206405691,454.96075181614293,253.25832906201953,0.14215428270669808,497958.9999999998,0.0
10.1.1.1,10.1.1.4,49154,80,6,19,12896,0,477448,195288,32768,9181,3724,3673560,536,0,213.82427696068316,0.0,4578901.944234153,12905.890506444948,999930.9999999997,77.49000309981399,367.34225675116625,267.34327155519725,0.060774752992517146,999930.9999999997,0.0
10.1.1.2,10.1.1.4,49158,80,6,20,6567,0,232272,109812,32768,4466,2111,1951048,536,0,192.60667128696258,0.0,2415670.5376542266,6588.325331244407,998281.0000000005,151.80672141119229,950.6257483702805,471.44881516587697,0.06529552398100816,998281.0000000005,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,176,0,6344,2808,32768,122,54,62464,512,512,0.0,0.0,75923.76759919914,178.6823798868615,984988.0000000005,5628.502857142859,4312.178252178737,16822.71698113208,0.053236437383809364,984988.0000000005,0.0
10.1.1.4,10.1.1.7,80,49154,6,1,2,0,56,52,65535,1,1,0,0,0,0.0,0.0,631578.947368712,8771.929824565445,227.99999999989495,227.99999999989495,0.0,0.0,0.9459459459459459,227.99999999989495,0.0
10.1.1.9,10.1.1.4,49153,80,6,4,4,0,216,112,65535,4,2,0,0,0,0.0,0.0,443.74286932688483,6.106553247617681,982551.0,196510.19999999998,368771.03104143095,938374.0,0.5138888888888888,982551.0,0.0
10.1.1.3,10.1.1.4,49153,80,6,22,3282,0,121152,50172,65535,2329,964,844792,536,0,228.22208255174812,0.0,1101888.2076167676,3374.141351213993,975952.0000000003,296.4617253948968,1871.3132037080873,991.444444444444,0.06699700158552824,975952.0000000003,0.0
10.1.1.8,10.1.1.4,49154,80,6,2,2,0,108,56,65535,2,1,0,0,0,0.0,0.0,15901.962214603578,218.83434240280155,13708.99999999997,6854.499999999986,6822.4999999999545,0.0,0.5138888888888888,13708.99999999997,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,86,0,3224,1248,32768,62,24,31744,536,368,19.753317402074437,0.0,75584.8397995292,172.1294413398875,499624.0000000003,5877.92941176471,7271.529153507597,16776.21739130435,0.046558031260392416,499624.0000000003,0.0
10.1.1.1,10.1.1.4,49159,80,6,0,8194,0,294944,131144,32768,5672,2522,2696576,536,64,157.8740307088961,0.0,3308869.7763836873,8291.004755640994,988300.0000000006,120.62736482363,717.8349691994737,391.81356604522017,0.057065906046516436,988300.0000000006,0.0
10.1.1.2,10.1.1.4,49159,80,6,8,6690,0,238748,109372,32768,4591,2103,2260072,536,0,137.07820188662996,0.0,2743846.4957354357,6731.196592369438,994473.9999999994,148.58419243986245,844.5172631217764,469.98667935299693,0.0570321113107399,994473.9999999994,0.0
10.1.1.3,10.1.1.4,49163,80,6,18,4942,0,177252,80272,32768,3408,1543,1425280,536,0,204.7001937533652,0.0,1777608.5698148368,4966.889078161034,996801.0000000005,201.37393939393948,1065.6073210116213,643.7302204928666,0.0649363293899305,996801.0000000005,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,190,0,6344,3536,32768,122,68,62464,536,296,24.964236714830644,0.0,76764.86024791228,192.50994465845693,986962.0000000001,5222.021164021164,8072.261094931025,14647.10447761194,0.06703847670553771,986962.0000000001,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,184,0,6292,3276,32768,121,63,61952,536,152,35.85093103670178,0.0,75417.76981817774,185.44031492603037,992233.0000000006,5422.0382513661225,9922.659077206667,15170.500000000005,0.06262247593081707,992233.0000000006,0.0
10.1.1.7,10.1.1.4,49153,80,6,0,181,0,6344,3068,32768,122,59,62464,536,248,27.13898653531363,0.0,75886.8736737169,182.81369466476906,990079.0000000006,5500.4388888888925,8231.202976859779,16762.41379310345,0.05816573714156949,990079.0000000006,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,87,0,3120,1404,32768,60,27,30720,536,152,52.030760132829116,0.0,76141.97447868284,179.9606568770825,483439.00000000064,5621.383720930238,15991.370859956496,16809.269230769223,0.05412371134020619,483439.00000000064,0.0
10.1.1.4,10.1.1.7,80,49153,6,0,180,0,3120,6240,32768,60,120,0,0,0,0.0,512.0,74089.41764156692,180.12014013346902,999333.0,5582.865921787709,14759.037312245651,8191.873949579827,16.62857142857143,999333.0,0.0
10.1.1.4,10.1.1.1,80,49172,6,0,6829,0,113100,242008,32768,2175,4654,0,0,0,0.0,491.78169316716804,2766964.6196648963,6829.450743749084,999934.0000000006,146.44610427650855,802.9147698151659,214.8850204169353,17.172623973727422,999934.0000000006,0.0
10.1.1.4,10.1.1.3,80,49155,6,0,4910,0,84968,170352,32768,1634,3276,0,0,0,0.0,536.0,2110015.1645946414,4934.271682405754,995080.9999999999,202.70543898961088,1012.3622834563405,303.81862595419824,17.356670746634027,995080.9999999999,0.0
10.1.1.4,10.1.1.2,80,49172,6,0,6301,0,103064,224588,32768,1982,4319,0,0,0,0.0,526.0662190321834,2725414.3646408846,6329.48267202411,995499.9999999999,158.01587301587298,821.3321340062229,230.5287169986104,18.555643649992792,995499.9999999999,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,177,0,6292,2912,32768,121,56,61952,536,56,65.59983874199088,0.0,75748.18938779499,180.34797989884203,981436.0000000005,5576.340909090911,17625.881166487692,14749.49090909091,0.05566442304961518,981436.0000000005,0.0
10.1.1.6,10.1.1.4,49154,80,6,0,98,0,3172,1924,32768,61,37,31232,536,272,45.57825193203802,0.0,52942.68896934654,136.20664493846374,719495.0000000002,7417.474226804126,20403.836891595176,15679.611111111124,0.07295363641484987,719495.0000000002,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,158,0,5928,2288,32768,114,44,58368,536,104,39.44883428335734,0.0,74997.62351253485,170.6750088578168,925736.0000000006,5896.407643312105,12071.871164020331,16329.02325581396,0.046421896666063785,925736.0000000006,0.0
