Flow_Index,Simulated_IP,Predicted_Label,Actual_Label,Action,Timestamp
0,192.168.1.8,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.240396
1,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.240837
2,192.168.1.18,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.241875
3,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.243235
4,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.243575
5,192.168.1.9,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.244587
6,192.168.1.7,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.244587
7,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.246915
8,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.247628
9,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.247628
10,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.249226
11,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.250240
12,192.168.1.2,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.251240
13,192.168.1.6,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.251240
14,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.252240
15,10.0.0.4,DDoS,DDoS,PASSED,2026-06-23 15:00:41.253240
16,192.168.1.33,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.254240
17,192.168.1.39,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.255239
18,192.168.1.2,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.255239
19,192.168.1.36,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.256240
20,192.168.1.13,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.256996
21,192.168.1.35,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.258508
22,10.0.0.7,DDoS,DDoS,PASSED,2026-06-23 15:00:41.258508
23,192.168.1.15,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.258508
24,10.0.0.8,DDoS,DDoS,PASSED,2026-06-23 15:00:41.260826
25,192.168.1.38,BENIGN,BENIGN,PASSED,2026-06-23 15:00:41.261542
26,10.0.0.5,DDoS,DDoS,PASSED,2026-06-23 15:00:41.261542
27,10.0.0.1,DDoS,DDoS,PASSED,2026-06-23 15:00:41.261542
